날짜,종가,시가,고가,저가,거래량,거래대금,flng_cls_code,prtt_rate,mod_yn,prdy_vrss_sign,prdy_vrss,revl_issu_reas
1997-01-03,43307,43307,43307,42898,692,297850,0,0.0,N,5,-1225,
1997-01-04,41672,42489,42489,40447,2073,860120,0,0.0,N,5,-1634,
1997-01-06,40038,40855,40855,40038,3757,1703155,0,0.0,N,5,-1634,
1997-01-07,36851,40038,40038,36851,5042,2058394,0,0.0,N,4,-3186,
1997-01-08,37178,35953,37178,34809,7293,2664951,0,0.0,N,2,326,
1997-01-09,38812,37587,38812,35953,2873,1081790,0,0.0,N,2,1634,
1997-01-10,40447,38812,40447,38812,3766,1484870,0,0.0,N,2,1634,
1997-01-11,41264,40447,41264,39630,3399,1380680,0,0.0,N,2,817,
1997-01-13,40651,40038,40855,40038,2875,1162855,0,0.0,N,5,-612,
1997-01-14,42081,40038,42081,40038,4606,1896602,0,0.0,N,2,1429,
1997-01-15,44124,42081,44124,41264,7002,3007880,0,0.0,N,2,2042,
1997-01-16,43715,44124,44124,42489,2667,1157420,0,0.0,N,5,-408,
1997-01-17,42489,44124,45349,41672,6287,2747430,0,0.0,N,5,-1225,
1997-01-18,42081,41672,42081,40855,2082,869150,0,0.0,N,5,-408,
1997-01-20,45349,41264,45349,41264,17478,7692680,0,0.0,N,1,3268,
1997-01-21,45758,46984,47392,45349,27472,12805570,0,0.0,N,2,408,
1997-01-22,42898,43307,44941,42898,11239,4959190,0,0.0,N,5,-2859,
1997-01-23,42898,42898,44124,42898,2606,1130690,0,0.0,N,3,0,
1997-01-24,42081,40855,42081,40855,5284,2205830,0,0.0,N,5,-817,
1997-01-25,42489,42081,43715,42081,2352,1004070,0,0.0,N,2,408,
1997-01-27,40855,42489,43307,40855,5864,2471080,0,0.0,N,5,-1634,
1997-01-28,41264,40038,41672,40038,5702,2342150,0,0.0,N,2,408,
1997-01-29,42081,41672,42489,41264,10803,4524100,0,0.0,N,2,817,
1997-01-30,42898,42081,42898,41264,3132,1309760,0,0.0,N,2,817,
1997-01-31,42898,42898,42898,42081,5301,2266360,0,0.0,N,3,0,
1997-02-01,41264,42898,43307,41264,2107,899450,0,0.0,N,5,-1634,
1997-02-03,41264,41264,42081,41264,1926,798240,0,0.0,N,3,0,
1997-02-04,41672,41264,42489,41264,1904,793760,0,0.0,N,2,408,
1997-02-05,42081,39630,42489,39630,3669,1531480,0,0.0,N,2,408,
1997-02-06,42898,42489,43307,41672,4116,1755640,0,0.0,N,2,817,
1997-02-10,43715,42898,43715,41672,3409,1468920,0,0.0,N,2,817,
1997-02-11,43715,42898,43715,42081,4320,1857740,0,0.0,N,3,0,
1997-02-12,42898,42898,42898,42081,5866,2512970,0,0.0,N,5,-817,
1997-02-13,46166,42898,46166,42898,19101,8616710,0,0.0,N,1,3268,
1997-02-14,49843,46984,49843,46166,34474,16679530,0,0.0,N,1,3677,
1997-02-15,52703,50252,53520,50252,44556,23608530,0,0.0,N,2,2859,
1997-02-17,49843,52295,52703,49026,24461,12329430,0,0.0,N,5,-2859,
1997-02-18,47801,49026,50661,47801,17965,8777500,0,0.0,N,5,-2042,
1997-02-19,48618,47801,48618,46984,6833,3262340,0,0.0,N,2,817,
1997-02-20,46575,47801,49026,46575,7169,3415610,0,0.0,N,5,-2042,
1997-02-21,44941,46575,46984,44941,13939,6391850,0,0.0,N,5,-1634,
1997-02-22,44532,44941,44941,43307,3967,1749620,0,0.0,N,5,-408,
1997-02-24,43307,44532,45349,43307,3879,1724260,0,0.0,N,5,-1225,
1997-02-25,44941,42898,44941,42898,6346,2767610,0,0.0,N,2,1634,
1997-02-26,48209,44941,48209,44941,29063,13914180,0,0.0,N,1,3268,
1997-02-27,46166,48209,48209,46166,4785,2233130,0,0.0,N,5,-2042,
1997-02-28,46984,45758,46984,45758,7071,3299490,0,0.0,N,2,817,
1997-03-03,46166,46984,47392,45349,3103,1435600,0,0.0,N,5,-817,
1997-03-04,44941,44941,45758,43307,3074,1375690,0,0.0,N,5,-1225,
1997-03-05,43715,44941,45758,43715,3901,1763210,0,0.0,N,5,-1225,
1997-03-06,43715,43715,44941,43715,2667,1177450,0,0.0,N,3,0,
1997-03-07,46166,46984,46984,45758,19463,9134970,0,0.0,N,2,2451,
1997-03-08,47392,46166,48618,44941,15841,7478640,0,0.0,N,2,1225,
1997-03-10,46166,47392,47801,45758,5144,2403150,0,0.0,N,5,-1225,
1997-03-11,47801,45758,48209,45758,26720,12702070,0,0.0,N,2,1634,
1997-03-12,47392,46575,49026,46575,17013,8164640,0,0.0,N,5,-408,
1997-03-13,46166,48209,48209,46166,5534,2589330,0,0.0,N,5,-1225,
1997-03-14,44124,44941,45758,44124,5739,2579930,0,0.0,N,5,-2042,
1997-03-15,43715,43307,44941,43307,2513,1104520,0,0.0,N,5,-408,
1997-03-17,44532,44532,44941,44124,7154,3170500,0,0.0,N,2,817,
1997-03-18,44124,44941,46984,43307,4293,1899180,0,0.0,N,5,-408,
1997-03-19,44124,44532,44532,43715,4001,1763130,0,0.0,N,3,0,
1997-03-20,42081,43715,43715,42081,9518,4077430,0,0.0,N,5,-2042,
1997-03-21,43715,42081,43715,40038,7235,3065160,0,0.0,N,2,1634,
1997-03-22,41672,42898,42898,40855,3945,1644970,0,0.0,N,5,-2042,
1997-03-24,40447,40855,41672,40038,13838,5574250,0,0.0,N,5,-1225,
1997-03-25,43307,41672,43307,40855,7641,3200560,0,0.0,N,1,2859,
1997-03-26,44532,44124,44532,42898,6513,2871600,0,0.0,N,2,1225,
1997-03-27,42898,44532,44532,42898,3304,1437280,0,0.0,N,5,-1634,
1997-03-28,42898,43307,43715,42898,3064,1321670,0,0.0,N,3,0,
1997-03-29,46166,42898,46166,42898,4273,1932610,0,0.0,N,1,3268,
1997-03-31,45758,47392,47392,44532,6004,2771330,0,0.0,N,5,-408,
1997-04-01,46166,46575,47392,45758,8774,4073870,0,0.0,N,2,408,
1997-04-02,45758,46166,47801,45349,7812,3618800,0,0.0,N,5,-408,
1997-04-03,47392,45758,48209,45758,29672,14076610,0,0.0,N,2,1634,
1997-04-04,51069,47392,51069,47392,34741,17379490,0,0.0,N,1,3677,
1997-04-07,51069,51886,52703,50252,19950,10300570,0,0.0,N,3,0,
1997-04-08,51069,51069,51478,49435,15694,7932540,0,0.0,N,3,0,
1997-04-09,51478,54338,54338,50661,12845,6692250,0,0.0,N,2,408,
1997-04-10,50252,51478,51478,49843,4956,2509550,0,0.0,N,5,-1225,
1997-04-11,50661,50252,51069,48618,15021,7536920,0,0.0,N,2,408,
1997-04-12,50661,50252,51886,49843,2677,1355090,0,0.0,N,3,0,
1997-04-14,51886,50661,51886,49435,9802,5019260,0,0.0,N,2,1225,
1997-04-15,52703,51886,55155,50661,26175,14007900,0,0.0,N,2,817,
1997-04-16,53929,51886,53929,51069,12172,6410770,0,0.0,N,2,1225,
1997-04-17,54338,53929,55155,52295,11621,6204750,0,0.0,N,2,408,
1997-04-18,53929,54338,54746,53112,11202,6059990,0,0.0,N,5,-408,
1997-04-19,53112,53929,53929,51886,3103,1637800,0,0.0,N,5,-817,
1997-04-21,51886,53112,53112,51478,13009,6719550,0,0.0,N,5,-1225,
1997-04-22,50661,50252,51069,50252,3096,1570040,0,0.0,N,5,-1225,
1997-04-23,51886,50661,51886,49843,3331,1709430,0,0.0,N,2,1225,
1997-04-24,51886,51886,53929,51478,8265,4346810,0,0.0,N,3,0,
1997-04-25,50661,52295,52295,50661,5673,2899550,0,0.0,N,5,-1225,
1997-04-26,52295,51478,52703,51478,2065,1073250,0,0.0,N,2,1634,
1997-04-28,52703,53112,53929,51886,10380,5491330,0,0.0,N,2,408,
1997-04-29,53112,52703,53520,51886,7063,3710560,0,0.0,N,2,408,
1997-04-30,52703,53112,53929,52295,3996,2115620,0,0.0,N,5,-408,
1997-05-02,54746,53520,55972,52703,23543,12700440,0,0.0,N,2,2042,
1997-05-03,54338,55155,56380,53929,16472,9004370,0,0.0,N,5,-408,
1997-05-06,55155,54746,55972,53112,23519,12865050,0,0.0,N,2,817,
1997-05-07,52703,53929,55155,52295,5223,2787850,0,0.0,N,5,-2451,
1997-05-08,51886,51478,52295,50252,11134,5725950,0,0.0,N,5,-817,
1997-05-09,53112,51886,53929,51478,11139,5912630,0,0.0,N,2,1225,
1997-05-10,52295,53112,53112,52295,5825,3071670,0,0.0,N,5,-817,
1997-05-12,54338,52703,55972,52703,26600,14525000,0,0.0,N,2,2042,
1997-05-13,58423,54746,58423,54746,45051,25973890,0,0.0,N,1,4085,
1997-05-15,62917,62100,62917,60466,29773,18587400,0,0.0,N,1,4494,
1997-05-16,64143,64143,67003,62100,157806,100441120,0,0.0,N,2,1225,
1997-05-17,64552,64143,65369,63326,26106,16969720,0,0.0,N,2,408,
1997-05-19,69454,65777,69454,64552,139158,91457100,0,0.0,N,1,4902,
1997-05-20,73540,69454,73948,68229,92532,66102270,0,0.0,N,2,4085,
1997-05-21,73540,73540,74357,71497,52678,38608280,0,0.0,N,3,0,
1997-05-22,69046,73540,73540,67820,24106,17018740,0,0.0,N,5,-4494,
1997-05-23,68637,67411,69046,65369,14181,9547770,0,0.0,N,5,-408,
1997-05-24,66186,67411,67820,65369,7617,5068420,0,0.0,N,5,-2451,
1997-05-26,63326,65777,66186,63326,13755,8839920,0,0.0,N,5,-2859,
1997-05-27,66594,63326,66594,63326,11616,7538130,0,0.0,N,2,3268,
1997-05-28,68637,66186,69454,65777,12982,8802130,0,0.0,N,2,2042,
1997-05-29,70680,69454,71497,68637,75698,53282330,0,0.0,N,2,2042,
1997-05-30,72723,70680,75583,68637,130659,95043490,0,0.0,N,2,2042,
