날짜,종가,시가,고가,저가,거래량,거래대금,flng_cls_code,prtt_rate,mod_yn,prdy_vrss_sign,prdy_vrss,revl_issu_reas
2003-01-02,2254,2254,2254,2254,415321,936483000,0,0.0,N,2,601,
2003-01-03,2119,2269,2435,2036,686163,1539988550,0,0.0,N,5,-135,
2003-01-06,2367,2209,2367,2036,388632,867780730,0,0.0,N,1,248,
2003-01-07,2645,2555,2645,2480,75939,197615210,0,0.0,N,1,278,
2003-01-08,2961,2931,2961,2811,73988,217654650,0,0.0,N,1,315,
2003-01-09,3028,3156,3314,2863,627214,1923864270,0,0.0,N,2,67,
2003-01-10,2780,3081,3171,2668,288970,827951110,0,0.0,N,5,-248,
2003-01-13,2901,2638,2998,2638,134722,382764550,0,0.0,N,2,120,
2003-01-14,3209,2863,3246,2750,450952,1398757540,0,0.0,N,2,308,
2003-01-15,2938,3074,3186,2871,228414,693178540,0,0.0,N,5,-270,
2003-01-16,2833,2893,3013,2788,97925,280223020,0,0.0,N,5,-105,
2003-01-17,2668,2735,2863,2510,76156,204292210,0,0.0,N,5,-165,
2003-01-20,2480,2397,2547,2397,100410,246741190,0,0.0,N,5,-187,
2003-01-21,2517,2517,2593,2352,89270,223024330,0,0.0,N,2,37,
2003-01-22,2322,2480,2517,2322,47073,111797350,0,0.0,N,5,-195,
2003-01-23,2299,2382,2382,2164,38008,88058670,0,0.0,N,5,-22,
2003-01-24,2036,2239,2314,2029,53322,115056350,0,0.0,N,5,-263,
2003-01-27,1886,1833,1931,1818,65008,120797350,0,0.0,N,5,-150,
2003-01-28,1924,1841,2074,1841,47012,92702850,0,0.0,N,2,37,
2003-01-29,2149,1991,2149,1991,58284,122848150,0,0.0,N,1,225,
2003-01-30,2217,2277,2405,2089,187551,431816190,0,0.0,N,2,67,
2003-02-03,2397,2149,2472,2096,336367,778802910,0,0.0,N,2,180,
2003-02-04,2375,2495,2547,2337,1238259,3037338170,0,0.0,N,5,-22,
2003-02-05,2224,2375,2405,2224,300830,695604740,0,0.0,N,5,-150,
2003-02-06,2014,2262,2277,1961,362540,762617310,0,0.0,N,5,-210,
2003-02-07,1991,2036,2051,1894,349669,679014060,0,0.0,N,5,-22,
2003-02-10,2142,1999,2164,1999,1624668,3400075320,0,0.0,N,2,150,
2003-02-11,2209,2254,2345,1924,2063161,4567575860,0,0.0,N,2,67,
2003-02-12,2104,2224,2262,2051,690287,1483183630,0,0.0,N,5,-105,
2003-02-13,2352,2157,2352,2089,1860058,4234119540,0,0.0,N,1,248,
2003-02-14,2345,2435,2450,2277,1596890,3767632920,0,0.0,N,5,-7,
2003-02-17,2480,2405,2525,2390,1222907,2996387910,0,0.0,N,2,135,
2003-02-18,2254,2487,2487,2254,717601,1688668100,0,0.0,N,5,-225,
2003-02-19,2104,2329,2337,2104,558868,1243573240,0,0.0,N,5,-150,
2003-02-20,2269,2104,2322,2104,933509,2077769910,0,0.0,N,2,165,
2003-02-21,2187,2232,2307,2149,415866,916286200,0,0.0,N,5,-82,
2003-02-24,2442,2232,2442,2232,1370803,3289225080,0,0.0,N,1,255,
2003-02-25,2405,2375,2517,2345,1312882,3181913540,0,0.0,N,5,-37,
2003-02-26,2510,2480,2653,2450,1938019,4967367200,0,0.0,N,2,105,
2003-02-27,2375,2337,2480,2284,673205,1578396590,0,0.0,N,5,-135,
2003-02-28,2254,2435,2450,2254,584731,1374207430,0,0.0,N,5,-120,
2003-03-03,2096,2217,2217,2059,732964,1553641370,0,0.0,N,5,-157,
2003-03-04,2014,2104,2172,2006,466845,975888830,0,0.0,N,5,-82,
2003-03-05,1773,1954,1984,1773,438904,801150660,0,0.0,N,4,-240,
2003-03-06,1661,1811,1848,1570,647408,1124977650,0,0.0,N,5,-112,
2003-03-07,1608,1563,1676,1533,430581,688193410,0,0.0,N,5,-52,
2003-03-10,1728,1713,1796,1623,831210,1434400440,0,0.0,N,2,120,
2003-03-11,1698,1638,1766,1638,533655,902438320,0,0.0,N,5,-30,
2003-03-12,1811,1736,1848,1736,698151,1246702890,0,0.0,N,2,112,
2003-03-13,1721,1803,1811,1661,410992,704952750,0,0.0,N,5,-90,
2003-03-14,1751,1879,1901,1743,556350,1017988720,0,0.0,N,2,30,
2003-03-17,1548,1676,1698,1548,374384,591647800,0,0.0,N,4,-202,
2003-03-18,1638,1676,1676,1593,446181,727932280,0,0.0,N,2,90,
2003-03-19,1623,1646,1706,1578,361503,591293750,0,0.0,N,5,-15,
2003-03-20,1803,1661,1803,1646,1068716,1839169260,0,0.0,N,2,180,
2003-03-21,1818,1811,1863,1766,513407,928473460,0,0.0,N,2,15,
2003-03-24,1916,1879,1969,1788,1237345,2348512170,0,0.0,N,2,97,
2003-03-25,1954,1803,2059,1803,898657,1738314790,0,0.0,N,2,37,
2003-03-26,1984,2074,2104,1946,978744,2002583840,0,0.0,N,2,30,
2003-03-27,2006,1961,2036,1909,586785,1156999660,0,0.0,N,2,22,
2003-03-28,2029,2059,2127,2006,718799,1487338160,0,0.0,N,2,22,
2003-03-31,1841,1969,1991,1841,371474,709007440,0,0.0,N,5,-187,
2003-04-01,1931,1841,1954,1826,318404,604338170,0,0.0,N,2,90,
2003-04-02,2059,1954,2066,1931,744844,1507368330,0,0.0,N,2,127,
2003-04-03,2096,2134,2149,1991,584928,1236132630,0,0.0,N,2,37,
2003-04-04,2112,2104,2119,2051,371258,777330590,0,0.0,N,2,15,
2003-04-07,2277,2149,2277,2127,602938,1331608580,0,0.0,N,2,165,
2003-04-08,2254,2179,2307,2179,309123,698465450,0,0.0,N,5,-22,
2003-04-09,2307,2224,2322,2202,281558,638570560,0,0.0,N,2,52,
2003-04-10,2367,2292,2427,2277,410433,974044220,0,0.0,N,2,60,
2003-04-11,2329,2367,2375,2247,432972,1007108880,0,0.0,N,5,-37,
2003-04-14,2375,2375,2525,2299,684615,1641248110,0,0.0,N,2,45,
2003-04-15,2653,2442,2653,2352,1439008,3733492060,0,0.0,N,1,278,
2003-04-16,2630,2668,2668,2570,784375,2052554060,0,0.0,N,5,-22,
2003-04-17,2540,2668,2735,2532,724738,1909781200,0,0.0,N,5,-90,
2003-04-18,2653,2653,2675,2562,570266,1496970160,0,0.0,N,2,112,
2003-04-21,2841,2638,2878,2600,1048474,2899982900,0,0.0,N,2,187,
2003-04-22,2735,2841,2841,2683,359796,987865790,0,0.0,N,5,-105,
2003-04-23,2547,2788,2788,2487,357124,955355120,0,0.0,N,5,-187,
2003-04-24,2578,2555,2660,2480,281375,718643040,0,0.0,N,2,30,
2003-04-25,2480,2487,2502,2292,342704,819533950,0,0.0,N,5,-97,
2003-04-28,2367,2254,2480,2254,146848,350989450,0,0.0,N,5,-112,
2003-04-29,2638,2450,2645,2442,281473,721209910,0,0.0,N,2,270,
2003-04-30,2645,2570,2705,2570,156156,411430370,0,0.0,N,2,7,
2003-05-02,2705,2713,2743,2600,693325,1865705840,0,0.0,N,2,60,
2003-05-06,2923,2743,3028,2728,1262932,3690238180,0,0.0,N,2,217,
2003-05-07,3013,2968,3059,2908,684125,2050152170,0,0.0,N,2,90,
2003-05-09,3104,2968,3209,2901,690805,2141989990,0,0.0,N,2,90,
2003-05-12,3156,3164,3209,3066,627380,1967694670,0,0.0,N,2,52,
2003-05-13,3059,3186,3201,2991,521525,1595863400,0,0.0,N,5,-97,
2003-05-14,3044,3013,3111,2991,360566,1098694310,0,0.0,N,5,-15,
2003-05-15,3028,3051,3179,2998,513988,1581890630,0,0.0,N,5,-15,
2003-05-16,2871,3028,3081,2871,263808,781844920,0,0.0,N,5,-157,
2003-05-19,2856,2795,2878,2735,287677,806884950,0,0.0,N,5,-15,
2003-05-20,3066,2826,3066,2788,244000,720560460,0,0.0,N,2,210,
2003-05-21,3059,3066,3066,2983,269085,815927430,0,0.0,N,5,-7,
2003-05-22,2856,3149,3269,2848,914558,2856016130,0,0.0,N,5,-202,
2003-05-23,2931,2931,2976,2856,478206,1389708100,0,0.0,N,2,75,
2003-05-26,3254,2953,3254,2953,846287,2649081860,0,0.0,N,2,323,
2003-05-27,3044,3307,3314,3013,622603,1939146580,0,0.0,N,5,-210,
2003-05-28,2886,3164,3194,2856,563655,1691583350,0,0.0,N,5,-157,
2003-05-29,2773,2856,2931,2765,371486,1049510430,0,0.0,N,5,-112,
2003-05-30,2818,2765,2886,2720,243964,686899030,0,0.0,N,2,45,
2003-06-02,2856,2848,2923,2818,294300,841958330,0,0.0,N,2,37,
2003-06-03,2743,2826,2856,2743,246107,683752000,0,0.0,N,5,-112,
2003-06-04,2765,2795,2811,2728,255250,704264060,0,0.0,N,2,22,
2003-06-05,2750,2780,2871,2720,322964,904971990,0,0.0,N,5,-15,
2003-06-09,2683,2675,2750,2660,281258,759126420,0,0.0,N,5,-67,
2003-06-10,2675,2645,2773,2645,364850,978562400,0,0.0,N,5,-7,
2003-06-11,2668,2675,2728,2660,308562,830037760,0,0.0,N,5,-7,
2003-06-12,2811,2698,2871,2698,808341,2260638560,0,0.0,N,2,142,
2003-06-13,3021,2871,3119,2833,1707490,5118557750,0,0.0,N,2,210,
