날짜,종가,시가,고가,저가,거래량,거래대금,flng_cls_code,prtt_rate,mod_yn,prdy_vrss_sign,prdy_vrss,revl_issu_reas
2005-07-19,4956,4312,4956,4190,775338,3610586450,0,0.0,N,1,643,
2005-07-20,4216,4950,4950,4216,656650,2986089390,0,0.0,N,4,-740,
2005-07-21,3694,4151,4235,3688,283803,1118440390,0,0.0,N,5,-521,
2005-07-22,3591,3765,3765,3559,108623,394752530,0,0.0,N,5,-102,
2005-07-25,3636,3540,3830,3540,94820,347110020,0,0.0,N,2,45,
2005-07-26,3578,3752,3784,3578,61879,227356630,0,0.0,N,5,-57,
2005-07-27,3636,3578,3720,3559,69361,250814720,0,0.0,N,2,57,
2005-07-28,3508,3656,3688,3508,64677,229021600,0,0.0,N,5,-128,
2005-07-29,3424,3508,3508,3379,89990,307807400,0,0.0,N,5,-83,
2005-08-01,3463,3469,3495,3398,44087,152120000,0,0.0,N,2,38,
2005-08-02,3411,3443,3443,3353,65040,220648590,0,0.0,N,5,-51,
2005-08-03,3237,3360,3424,3237,49097,162668990,0,0.0,N,5,-173,
2005-08-04,3315,3250,3366,3250,28160,92699020,0,0.0,N,2,77,
2005-08-05,3218,3231,3250,3173,27936,90155820,0,0.0,N,5,-96,
2005-08-08,3212,3121,3282,3121,14854,47522795,0,0.0,N,5,-6,
2005-08-09,3170,3128,3347,3128,39403,126525880,0,0.0,N,5,-41,
2005-08-10,3205,3125,3231,3121,45901,144877950,0,0.0,N,2,35,
2005-08-11,3218,3250,3250,3173,23265,74661745,0,0.0,N,2,12,
2005-08-12,3128,3224,3250,2928,32196,100808340,0,0.0,N,5,-90,
2005-08-16,3089,3109,3112,3025,21410,65554965,0,0.0,N,5,-38,
2005-08-17,2951,3018,3134,2951,22083,66318440,0,0.0,N,5,-138,
2005-08-18,2861,2948,2973,2858,29150,84939205,0,0.0,N,5,-90,
2005-08-19,2703,2787,2864,2639,101573,275749140,0,0.0,N,5,-157,
2005-08-22,2767,2735,2809,2716,30768,84832855,0,0.0,N,2,64,
2005-08-23,2709,2800,2812,2677,37248,102553900,0,0.0,N,5,-57,
