날짜,종가,시가,고가,저가,거래량,거래대금,flng_cls_code,prtt_rate,mod_yn,prdy_vrss_sign,prdy_vrss,revl_issu_reas
1997-01-03,261124,259597,262651,255016,5382,13990480,0,0.0,N,2,9162,
1997-01-04,259597,261124,261124,253489,2441,6319300,0,0.0,N,5,-1527,
1997-01-06,253489,255016,258070,250435,3883,9914200,0,0.0,N,5,-6108,
1997-01-07,245854,251962,253489,244327,4286,10707780,0,0.0,N,5,-7635,
1997-01-08,259597,244327,259597,229056,3145,7674990,0,0.0,N,2,13743,
1997-01-09,253489,244327,253489,241273,2238,5530790,0,0.0,N,5,-6108,
1997-01-10,251962,253489,253489,239746,5143,12665520,0,0.0,N,5,-1527,
1997-01-11,253489,241273,253489,241273,4800,11918870,0,0.0,N,2,1527,
1997-01-13,241273,251962,251962,239746,5886,14647970,0,0.0,N,5,-12216,
1997-01-14,245854,241273,253489,238219,4900,12040130,0,0.0,N,2,4581,
1997-01-15,238219,245854,245854,232110,14869,35274820,0,0.0,N,5,-7635,
1997-01-16,245854,239746,245854,235164,7773,18597590,0,0.0,N,2,7635,
1997-01-17,244327,227529,244327,227529,5532,13349910,0,0.0,N,5,-1527,
1997-01-18,244327,238219,244327,235164,1282,3231070,0,0.0,N,3,0,
1997-01-20,248908,244327,251962,244327,7354,18207580,0,0.0,N,2,4581,
1997-01-21,239746,255016,255016,239746,2834,7064330,0,0.0,N,5,-9162,
1997-01-22,239746,236691,244327,235164,851,2035080,0,0.0,N,3,0,
1997-01-23,239746,239746,242800,236691,1649,3927720,0,0.0,N,3,0,
1997-01-24,244327,238219,244327,232110,2998,7317610,0,0.0,N,2,4581,
1997-01-25,242800,242800,247381,239746,1926,4701900,0,0.0,N,5,-1527,
1997-01-27,251962,238219,251962,235164,2997,7433540,0,0.0,N,2,9162,
1997-01-28,247381,241273,248908,241273,2751,6768450,0,0.0,N,5,-4581,
1997-01-29,250435,247381,250435,241273,7594,18857450,0,0.0,N,2,3054,
1997-01-30,248908,248908,248908,244327,4373,10823000,0,0.0,N,5,-1527,
1997-01-31,242800,247381,247381,242800,789,1929310,0,0.0,N,5,-6108,
1997-02-01,241273,241273,241273,241273,351,848460,0,0.0,N,5,-1527,
1997-02-03,238219,238219,241273,238219,430,1028460,0,0.0,N,5,-3054,
1997-02-04,248908,238219,248908,238219,1142,2786440,0,0.0,N,2,10689,
1997-02-05,248908,244327,248908,241273,2144,5328500,0,0.0,N,3,0,
1997-02-06,241273,239746,245854,239746,1901,4649560,0,0.0,N,5,-7635,
1997-02-10,242800,239746,242800,238219,1176,2822740,0,0.0,N,2,1527,
1997-02-11,241273,241273,242800,239746,2617,6311960,0,0.0,N,5,-1527,
1997-02-12,239746,244327,244327,239746,431,1040090,0,0.0,N,5,-1527,
1997-02-13,236691,239746,241273,236691,2285,5468810,0,0.0,N,5,-3054,
1997-02-14,233637,238219,238219,232110,2287,5475140,0,0.0,N,5,-3054,
1997-02-15,235164,235164,236691,233637,812,1909010,0,0.0,N,2,1527,
1997-02-17,238219,236691,238219,233637,1049,2485630,0,0.0,N,2,3054,
1997-02-18,239746,233637,241273,233637,2147,5145550,0,0.0,N,2,1527,
1997-02-19,241273,239746,242800,221421,2433,5826410,0,0.0,N,2,1527,
1997-02-20,242800,236691,242800,236691,1645,3958660,0,0.0,N,2,1527,
1997-02-21,238219,239746,241273,238219,5530,13268920,0,0.0,N,5,-4581,
1997-02-22,236691,233637,238219,233637,2143,5073060,0,0.0,N,5,-1527,
