날짜,종가,시가,고가,저가,거래량,거래대금,flng_cls_code,prtt_rate,mod_yn,prdy_vrss_sign,prdy_vrss,revl_issu_reas
2001-11-01,1128,1128,1128,1128,3903512,4407046800,0,0.0,N,1,564,
2001-11-02,996,1047,1056,996,1651151,1689920050,0,0.0,N,4,-132,
2001-11-05,878,878,878,878,235743,207127600,0,0.0,N,4,-118,
2001-11-06,869,864,905,861,9653248,8497589080,0,0.0,N,5,-9,
2001-11-07,814,869,883,807,6120331,5103611210,0,0.0,N,5,-54,
2001-11-08,814,833,849,814,2694413,2222283040,0,0.0,N,3,0,
2001-11-09,735,808,817,732,3646999,2794276800,0,0.0,N,5,-79,
2001-11-12,725,710,743,710,2261817,1638520600,0,0.0,N,5,-10,
2001-11-13,751,722,758,712,2940404,2165126070,0,0.0,N,2,25,
2001-11-14,766,730,793,730,4953925,3801905320,0,0.0,N,2,15,
2001-11-15,743,774,774,728,1834823,1382433120,0,0.0,N,5,-22,
2001-11-16,773,751,790,746,2863928,2208767190,0,0.0,N,2,30,
2001-11-19,766,785,804,759,2592753,2029029840,0,0.0,N,5,-7,
2001-11-20,740,769,775,733,1804015,1362682610,0,0.0,N,5,-26,
2001-11-21,740,738,746,732,688548,509189300,0,0.0,N,3,0,
2001-11-22,755,740,755,735,1022834,763908640,0,0.0,N,2,15,
2001-11-23,740,760,769,740,1414528,1068637470,0,0.0,N,5,-15,
2001-11-26,720,737,743,715,1349771,984742560,0,0.0,N,5,-20,
2001-11-27,712,719,729,711,936495,675628200,0,0.0,N,5,-7,
2001-11-28,724,710,764,701,2767331,2040518910,0,0.0,N,2,11,
2001-11-29,751,728,753,716,1774811,1310809250,0,0.0,N,2,26,
2001-11-30,787,760,833,751,4686582,3698435900,0,0.0,N,2,36,
2001-12-03,773,787,801,768,1435945,1113845420,0,0.0,N,5,-13,
2001-12-04,823,775,837,767,4034124,3269557100,0,0.0,N,2,50,
2001-12-05,814,837,843,796,2141749,1745223850,0,0.0,N,5,-9,
2001-12-06,792,828,833,779,1470279,1179129980,0,0.0,N,5,-22,
2001-12-07,793,801,813,778,1156807,918566100,0,0.0,N,2,0,
2001-12-10,783,802,802,773,927543,730099760,0,0.0,N,5,-10,
2001-12-11,814,781,816,770,1620145,1284646200,0,0.0,N,2,31,
2001-12-12,828,858,881,820,4383248,3740332060,0,0.0,N,2,13,
2001-12-13,819,837,842,811,1165528,957722520,0,0.0,N,5,-9,
2001-12-14,855,817,855,812,1569765,1315162770,0,0.0,N,2,36,
2001-12-17,864,868,924,855,4383456,3879377780,0,0.0,N,2,9,
2001-12-18,796,855,867,789,1588996,1324044800,0,0.0,N,5,-68,
2001-12-19,732,807,819,728,1406214,1080552240,0,0.0,N,5,-63,
2001-12-20,755,737,764,728,711185,530054350,0,0.0,N,2,22,
2001-12-21,792,752,792,734,1117355,858472680,0,0.0,N,2,36,
2001-12-24,760,787,833,755,1304531,1032050230,0,0.0,N,5,-31,
2001-12-26,769,764,772,755,723233,553264690,0,0.0,N,2,9,
2001-12-27,734,729,746,729,566140,417826150,2,0.0,N,5,-34,
2001-12-28,746,746,753,737,518221,385898040,0,0.0,N,2,11,
2002-01-02,746,747,755,738,430564,320730800,0,0.0,N,3,0,
2002-01-03,754,740,755,733,822291,611641730,0,0.0,N,2,8,
2002-01-04,741,757,757,741,467665,348592670,0,0.0,N,5,-13,
2002-01-07,737,740,750,731,593192,438696480,0,0.0,N,5,-3,
2002-01-08,725,737,750,724,683968,502952120,0,0.0,N,5,-11,
2002-01-09,741,723,743,714,724782,526916130,0,0.0,N,2,15,
2002-01-10,734,728,754,722,1201531,887303420,0,0.0,N,5,-6,
2002-01-11,740,735,743,728,377185,278335850,0,0.0,N,2,5,
2002-01-14,732,737,743,726,312318,228770370,0,0.0,N,5,-7,
2002-01-15,728,710,728,710,310660,223295670,0,0.0,N,5,-4,
2002-01-16,729,710,729,710,548666,394877040,0,0.0,N,2,0,
2002-01-17,719,719,728,704,379184,270206820,0,0.0,N,5,-10,
2002-01-18,719,719,720,705,509214,363581670,0,0.0,N,3,0,
2002-01-21,717,711,724,710,214216,153659890,0,0.0,N,5,-1,
2002-01-22,717,717,722,707,251219,179067480,0,0.0,N,3,0,
2002-01-23,705,710,716,704,327596,231857090,0,0.0,N,5,-11,
2002-01-24,695,703,710,693,434375,304240910,0,0.0,N,5,-10,
2002-01-25,679,696,696,678,685967,468755080,0,0.0,N,5,-16,
2002-01-28,693,691,705,673,446434,307458510,0,0.0,N,2,14,
2002-01-29,723,711,742,698,1083779,779779810,0,0.0,N,2,30,
2002-01-30,748,703,769,703,2072708,1539930710,0,0.0,N,2,24,
2002-01-31,762,755,773,737,922941,696905540,0,0.0,N,2,13,
2002-02-01,737,773,773,737,633852,475574920,0,0.0,N,5,-24,
2002-02-04,701,730,730,701,453277,323657490,0,0.0,N,5,-36,
2002-02-05,703,685,718,685,311989,218515880,0,0.0,N,2,2,
2002-02-06,706,703,719,696,241389,169851830,0,0.0,N,2,2,
2002-02-07,697,692,710,692,160058,111955110,0,0.0,N,5,-9,
2002-02-08,705,701,706,690,166879,116699280,0,0.0,N,2,8,
2002-02-14,736,710,736,707,571116,413510850,0,0.0,N,2,30,
2002-02-15,728,742,742,715,256271,186366930,0,0.0,N,5,-8,
2002-02-18,719,737,737,713,388399,279879340,0,0.0,N,5,-9,
2002-02-19,701,719,725,701,544613,386319980,0,0.0,N,5,-18,
2002-02-20,705,701,710,696,433639,304461170,0,0.0,N,2,4,
2002-02-21,698,705,713,698,270099,189858720,0,0.0,N,5,-7,
2002-02-22,702,701,736,701,852736,607477880,0,0.0,N,2,4,
2002-02-25,717,711,724,711,339502,243408530,0,0.0,N,2,14,
2002-02-26,713,711,726,711,314789,225622090,0,0.0,N,5,-3,
2002-02-27,739,714,740,713,1192140,862282950,0,0.0,N,2,25,
2002-02-28,730,742,757,730,766189,570384520,0,0.0,N,5,-9,
2002-03-04,755,732,758,730,1330825,996008750,0,0.0,N,2,25,
2002-03-05,764,764,809,760,2035058,1581624370,0,0.0,N,2,9,
2002-03-06,752,764,764,746,756655,570001690,0,0.0,N,5,-12,
2002-03-07,735,752,760,733,816547,608797460,0,0.0,N,5,-16,
2002-03-08,734,726,746,726,369025,271824260,0,0.0,N,5,0,
2002-03-11,773,746,773,737,3274261,2483831620,0,0.0,N,2,39,
2002-03-12,792,783,809,778,3495848,2762615820,0,0.0,N,2,18,
2002-03-13,819,796,864,792,3369848,2769419180,0,0.0,N,2,27,
2002-03-14,915,864,915,830,6200103,5462666350,0,0.0,N,1,95,
2002-03-15,919,942,978,896,4801719,4436077190,0,0.0,N,2,4,
2002-03-18,928,919,956,905,2573148,2368384090,0,0.0,N,2,9,
2002-03-19,905,942,942,887,1734293,1570816480,0,0.0,N,5,-22,
2002-03-20,903,901,956,887,2705210,2473879310,0,0.0,N,5,-2,
2002-03-21,907,895,909,876,976671,879483160,0,0.0,N,2,4,
2002-03-22,864,928,928,864,1461448,1311805100,0,0.0,N,5,-42,
2002-03-25,835,858,860,829,1357284,1142300920,0,0.0,N,5,-29,
2002-03-26,933,933,933,933,692338,646119000,0,0.0,N,1,97,
2002-03-27,1042,1042,1042,1042,477363,497651350,0,0.0,N,1,109,
2002-03-28,1165,1165,1165,1083,12106613,13902006800,0,0.0,N,1,122,
2002-03-29,1201,1220,1238,1106,5507962,6466560350,0,0.0,N,2,36,
2002-04-01,1060,1183,1201,1060,3457934,3801045250,0,0.0,N,4,-141,
2002-04-02,1092,1010,1097,956,3041681,3120867400,0,0.0,N,2,31,
2002-04-03,974,965,1065,965,2338370,2345677300,0,0.0,N,5,-118,
2002-04-04,1001,996,1033,965,1122374,1111362700,0,0.0,N,2,27,
2002-04-08,969,1019,1042,965,847223,843106250,0,0.0,N,5,-31,
2002-04-09,1019,969,1033,969,1939240,1948244650,0,0.0,N,2,50,
2002-04-10,928,1028,1028,905,1774931,1669383450,0,0.0,N,5,-91,
2002-04-11,928,937,937,883,1001823,908595440,0,0.0,N,3,0,
2002-04-12,887,887,906,883,752767,671543110,0,0.0,N,5,-40,
2002-04-15,884,896,905,874,547853,485983300,0,0.0,N,5,-2,
2002-04-16,915,887,942,887,626735,574421610,0,0.0,N,2,30,
2002-04-17,919,933,933,904,593895,541604820,0,0.0,N,2,4,
2002-04-18,915,915,978,910,751757,711035650,0,0.0,N,5,-4,
2002-04-19,874,905,933,868,672700,602758000,0,0.0,N,5,-40,
2002-04-22,846,874,892,833,458099,390936330,0,0.0,N,5,-27,
2002-04-23,828,846,846,803,699641,574695240,0,0.0,N,5,-18,
2002-04-24,810,815,853,787,593423,483040090,0,0.0,N,5,-18,
2002-04-25,783,826,826,749,643946,497959280,0,0.0,N,5,-27,
2002-04-26,778,782,796,764,241564,187501700,0,0.0,N,5,-4,
2002-04-29,764,749,773,736,523262,391520250,0,0.0,N,5,-13,
2002-04-30,772,746,772,746,330583,250838620,0,0.0,N,2,8,
2002-05-02,810,783,810,773,347728,276715610,0,0.0,N,2,37,
2002-05-03,792,801,826,792,181003,145074740,0,0.0,N,5,-18,
2002-05-06,764,783,792,751,192195,148378550,0,0.0,N,5,-27,
2002-05-07,760,764,764,740,442601,330358680,0,0.0,N,5,-4,
2002-05-08,755,752,781,752,287617,219146600,0,0.0,N,5,-4,
2002-05-09,759,771,771,746,425940,322512620,0,0.0,N,2,3,
2002-05-10,743,751,755,742,274042,205059680,0,0.0,N,5,-15,
2002-05-13,752,737,762,728,400173,299171410,0,0.0,N,2,8,
2002-05-14,746,752,761,740,421579,315796020,0,0.0,N,5,-5,
2002-05-15,742,755,757,740,420821,313188570,0,0.0,N,5,-3,
2002-05-16,735,746,749,732,358799,264437920,0,0.0,N,5,-7,
2002-05-17,745,737,749,737,348673,258909020,0,0.0,N,2,10,
2002-05-20,773,746,793,745,878261,675957940,0,0.0,N,2,28,
2002-05-21,747,783,791,747,598135,460214420,0,0.0,N,5,-26,
2002-05-22,765,755,782,753,524855,401508950,0,0.0,N,2,18,
2002-05-23,783,767,801,767,885983,693745860,0,0.0,N,2,17,
2002-05-24,769,769,785,769,310067,239482960,0,0.0,N,5,-13,
2002-05-27,769,756,769,737,581286,438967290,0,0.0,N,3,0,
2002-05-28,773,760,837,760,725771,576175000,0,0.0,N,2,4,
2002-05-29,763,790,790,747,306728,234484190,0,0.0,N,5,-10,
2002-05-30,742,748,762,742,240082,179998490,0,0.0,N,5,-20,
2002-05-31,738,739,762,738,171294,127374870,0,0.0,N,5,-4,
2002-06-03,738,737,753,728,213557,156820380,0,0.0,N,3,0,
2002-06-04,737,738,744,728,186462,136500040,0,0.0,N,5,0,
2002-06-05,743,737,746,732,195083,144079960,0,0.0,N,2,6,
2002-06-07,732,729,742,729,146735,107428400,0,0.0,N,5,-10,
2002-06-10,741,732,741,732,84614,62338110,0,0.0,N,2,8,
2002-06-11,745,741,746,732,103022,76241440,0,0.0,N,2,4,
2002-06-12,754,746,759,743,120244,90343790,0,0.0,N,2,9,
2002-06-14,782,756,782,751,375065,288240780,0,0.0,N,2,27,
2002-06-17,789,787,794,757,521131,402293400,0,0.0,N,2,7,
2002-06-18,770,792,801,770,300885,236671040,0,0.0,N,5,-19,
2002-06-19,711,761,764,710,221729,161806550,0,0.0,N,5,-59,
2002-06-20,709,711,723,688,369442,260085580,0,0.0,N,5,-1,
2002-06-21,728,709,732,691,253558,178905890,0,0.0,N,2,19,
2002-06-24,694,706,728,691,121078,84472680,0,0.0,N,5,-33,
2002-06-25,695,694,712,675,120628,83388560,0,0.0,N,2,0,
2002-06-26,640,674,691,619,308683,197797460,0,0.0,N,5,-54,
2002-06-27,628,622,672,622,38869,24895010,0,0.0,N,5,-12,
2002-06-28,656,637,664,637,90227,59373530,0,0.0,N,2,28,
2002-07-02,669,656,671,637,52159,34205110,0,0.0,N,2,12,
2002-07-03,662,660,682,655,97772,65093330,0,0.0,N,5,-6,
