날짜,종가,시가,고가,저가,거래량,거래대금,flng_cls_code,prtt_rate,mod_yn,prdy_vrss_sign,prdy_vrss,revl_issu_reas
1997-01-03,1146,1092,1166,1092,4922,54720,0,0.0,N,2,26,
1997-01-04,1173,1146,1173,1146,8950,102840,0,0.0,N,2,26,
1997-01-06,1099,1139,1139,1099,53555,604240,0,0.0,N,5,-73,
1997-01-07,1045,1106,1106,1039,65639,693600,0,0.0,N,5,-53,
1997-01-08,1039,1045,1059,1039,348186,3621170,0,0.0,N,5,-6,
1997-01-09,1045,1052,1052,1045,32968,345710,0,0.0,N,2,6,
1997-01-10,1072,1126,1126,1052,17752,190480,0,0.0,N,2,26,
1997-01-11,1106,1052,1106,1052,142765,1515820,0,0.0,N,2,33,
1997-01-13,1132,1173,1173,1106,16559,188880,0,0.0,N,2,26,
1997-01-14,1152,1106,1166,1106,66683,760550,0,0.0,N,2,20,
1997-01-15,1193,1146,1199,1146,232721,2750390,0,0.0,N,2,40,
1997-01-16,1240,1193,1240,1193,216460,2644930,0,0.0,N,2,46,
1997-01-17,1220,1246,1273,1206,242417,2994480,0,0.0,N,5,-20,
1997-01-18,1193,1220,1220,1193,90104,1088140,0,0.0,N,5,-26,
1997-01-20,1253,1206,1273,1206,725463,9018020,0,0.0,N,2,60,
1997-01-21,1347,1273,1347,1273,1590112,20814750,0,0.0,N,1,93,
1997-01-22,1454,1427,1454,1380,1450330,20919830,0,0.0,N,1,107,
1997-01-23,1568,1568,1568,1528,4912505,76966070,0,0.0,N,1,113,
1997-01-24,1575,1454,1608,1447,2327211,36552050,0,0.0,N,2,6,
1997-01-25,1528,1575,1628,1528,974147,15576810,0,0.0,N,5,-46,
1997-01-27,1474,1521,1568,1474,925215,14161700,0,0.0,N,5,-53,
1997-01-28,1380,1407,1468,1374,701296,9930270,0,0.0,N,5,-93,
1997-01-29,1488,1387,1488,1387,1101845,16219590,0,0.0,N,1,107,
1997-01-30,1541,1602,1602,1528,1976340,31385840,0,0.0,N,2,53,
1997-01-31,1581,1528,1662,1528,1817463,29025900,0,0.0,N,2,40,
1997-02-01,1595,1568,1602,1541,643265,10143640,0,0.0,N,2,13,
1997-02-03,1514,1595,1602,1514,456640,7169820,0,0.0,N,5,-80,
1997-02-04,1508,1481,1541,1461,712037,11069580,0,0.0,N,5,-6,
1997-02-05,1548,1575,1628,1541,2283651,36791960,0,0.0,N,2,40,
1997-02-06,1514,1575,1575,1501,475885,7320910,0,0.0,N,5,-33,
1997-02-10,1568,1561,1635,1514,679366,10566510,0,0.0,N,2,53,
1997-02-11,1662,1568,1689,1555,1841928,30137900,0,0.0,N,2,93,
1997-02-12,1649,1662,1709,1642,978771,16331140,0,0.0,N,5,-13,
1997-02-13,1608,1649,1675,1541,1283546,21269560,0,0.0,N,5,-40,
1997-02-14,1521,1608,1608,1508,555696,8624430,0,0.0,N,5,-87,
1997-02-15,1541,1541,1568,1528,652663,10082170,0,0.0,N,2,20,
1997-02-17,1561,1555,1608,1548,703534,11110250,0,0.0,N,2,20,
1997-02-18,1561,1561,1581,1521,824817,13937010,0,0.0,N,3,0,
1997-02-19,1575,1588,1642,1441,977130,15606330,0,0.0,N,2,13,
1997-02-20,1602,1581,1608,1528,424716,6662530,0,0.0,N,2,26,
1997-02-21,1474,1548,1615,1474,555994,9276950,0,0.0,N,4,-127,
1997-02-22,1374,1427,1441,1360,508257,6996730,0,0.0,N,5,-100,
1997-02-24,1360,1380,1421,1307,761117,10525780,0,0.0,N,5,-13,
1997-02-25,1360,1394,1394,1347,375934,5131960,0,0.0,N,3,0,
1997-02-26,1407,1367,1441,1367,789760,11073240,0,0.0,N,2,46,
1997-02-27,1407,1407,1461,1374,268673,3815460,0,0.0,N,3,0,
1997-02-28,1427,1360,1454,1360,260916,3711040,0,0.0,N,2,20,
1997-03-03,1447,1447,1461,1407,271060,3930110,0,0.0,N,2,20,
1997-03-04,1461,1380,1481,1380,286873,4182540,0,0.0,N,2,13,
1997-03-05,1501,1488,1561,1421,405621,6033740,0,0.0,N,2,40,
1997-03-06,1474,1474,1501,1454,399206,5883740,0,0.0,N,5,-26,
1997-03-07,1494,1441,1494,1441,268822,4192760,0,0.0,N,2,20,
1997-03-08,1561,1501,1602,1494,676383,10400060,0,0.0,N,2,67,
1997-03-10,1508,1575,1575,1508,335953,5161780,0,0.0,N,5,-53,
1997-03-11,1394,1541,1541,1394,186922,2693240,0,0.0,N,5,-113,
1997-03-12,1400,1374,1461,1374,151716,2147850,0,0.0,N,2,6,
1997-03-13,1387,1414,1474,1374,150224,2116250,0,0.0,N,5,-13,
1997-03-14,1333,1394,1394,1333,306714,4142360,0,0.0,N,5,-53,
1997-03-15,1340,1307,1367,1307,203183,2727370,0,0.0,N,2,6,
1997-03-17,1360,1347,1400,1333,133068,1792550,0,0.0,N,2,20,
1997-03-18,1387,1367,1434,1340,405173,5528110,0,0.0,N,2,26,
1997-03-19,1360,1280,1374,1280,176480,2379970,0,0.0,N,5,-26,
1997-03-20,1360,1260,1400,1260,116062,1570390,0,0.0,N,3,0,
1997-03-21,1327,1327,1354,1327,167529,2242940,0,0.0,N,5,-33,
1997-03-22,1327,1327,1367,1327,149329,2016300,0,0.0,N,3,0,
1997-03-24,1300,1327,1333,1226,140975,1855770,0,0.0,N,5,-26,
1997-03-25,1374,1313,1400,1300,913729,11949020,0,0.0,N,2,73,
1997-03-26,1360,1340,1374,1340,203332,2763400,0,0.0,N,5,-13,
1997-03-27,1374,1360,1441,1340,344457,4788780,0,0.0,N,2,13,
1997-03-28,1441,1394,1441,1394,604478,9400980,0,0.0,N,2,67,
1997-03-29,1447,1468,1488,1441,372801,5445600,0,0.0,N,2,6,
1997-03-31,1427,1461,1474,1421,294332,4441360,0,0.0,N,5,-20,
1997-04-01,1367,1441,1454,1360,182149,2589260,0,0.0,N,5,-60,
1997-04-02,1354,1367,1394,1320,240776,3271530,0,0.0,N,5,-13,
1997-04-03,1354,1360,1380,1313,273745,3712670,0,0.0,N,3,0,
1997-04-04,1400,1340,1407,1340,129488,1790990,0,0.0,N,2,46,
1997-04-07,1400,1340,1427,1340,211090,2938210,0,0.0,N,3,0,
1997-04-08,1387,1407,1407,1374,87717,1218170,0,0.0,N,5,-13,
1997-04-09,1414,1400,1427,1347,312681,4376220,0,0.0,N,2,26,
1997-04-10,1380,1434,1434,1380,255694,3578060,0,0.0,N,5,-33,
1997-04-11,1380,1380,1421,1340,575537,7993960,0,0.0,N,3,0,
1997-04-12,1488,1427,1488,1407,1050825,15268750,0,0.0,N,1,107,
1997-04-14,1561,1548,1602,1528,2574254,40150580,0,0.0,N,2,73,
1997-04-15,1541,1561,1588,1528,1602345,24924430,0,0.0,N,5,-20,
1997-04-16,1588,1548,1642,1528,1514925,23753610,0,0.0,N,2,46,
1997-04-17,1541,1615,1642,1541,512284,8108320,0,0.0,N,5,-46,
1997-04-18,1528,1548,1595,1528,1215073,18974190,0,0.0,N,5,-13,
1997-04-19,1575,1528,1575,1514,355347,5521890,0,0.0,N,2,46,
1997-04-21,1501,1575,1581,1501,369221,5737460,0,0.0,N,5,-73,
1997-04-22,1548,1514,1581,1474,582548,8892630,0,0.0,N,2,46,
1997-04-23,1535,1561,1568,1528,600301,9271890,0,0.0,N,5,-13,
1997-04-24,1628,1541,1655,1541,8321423,133942190,0,0.0,N,2,93,
1997-04-25,1655,1628,1729,1595,3932391,65747690,0,0.0,N,2,26,
1997-04-26,1608,1675,1689,1608,862858,14239930,0,0.0,N,5,-46,
1997-04-28,1581,1608,1675,1575,1110497,18172070,0,0.0,N,5,-26,
1997-04-29,1568,1602,1628,1561,1277281,20340000,0,0.0,N,5,-13,
1997-04-30,1622,1588,1655,1541,3330449,53637850,0,0.0,N,2,53,
1997-05-02,1608,1635,1655,1588,1219101,19771130,0,0.0,N,5,-13,
1997-05-03,1568,1608,1608,1508,468425,7393760,0,0.0,N,5,-40,
1997-05-06,1581,1595,1608,1541,915071,14371310,0,0.0,N,2,13,
1997-05-07,1494,1555,1568,1481,826607,12655020,0,0.0,N,5,-87,
1997-05-08,1481,1481,1508,1454,625512,9248170,0,0.0,N,5,-13,
1997-05-09,1474,1488,1508,1441,469768,6973030,0,0.0,N,5,-6,
1997-05-10,1400,1454,1461,1360,307162,4314090,0,0.0,N,5,-73,
1997-05-12,1407,1374,1447,1360,649083,9221560,0,0.0,N,2,6,
1997-05-13,1474,1468,1474,1380,328345,4695110,0,0.0,N,2,67,
1997-05-15,1474,1434,1488,1434,349976,5140550,0,0.0,N,3,0,
1997-05-16,1447,1407,1474,1407,213178,3114500,0,0.0,N,5,-26,
1997-05-17,1447,1454,1454,1441,156639,2268800,0,0.0,N,3,0,
1997-05-19,1481,1461,1508,1461,425462,6301340,0,0.0,N,2,33,
1997-05-20,1494,1528,1528,1488,271209,4094950,0,0.0,N,2,13,
1997-05-21,1447,1494,1494,1441,244357,3572680,0,0.0,N,5,-46,
1997-05-22,1474,1474,1508,1407,267778,3867910,0,0.0,N,2,26,
1997-05-23,1521,1441,1521,1441,889561,13188280,0,0.0,N,2,46,
1997-05-24,1488,1521,1575,1488,729938,11294250,0,0.0,N,5,-33,
1997-05-26,1474,1501,1501,1441,228544,3355000,0,0.0,N,5,-13,
1997-05-27,1447,1447,1528,1447,210940,3075650,0,0.0,N,5,-26,
1997-05-28,1421,1447,1474,1421,259573,3762650,0,0.0,N,5,-26,
1997-05-29,1454,1508,1508,1441,766488,11174700,0,0.0,N,2,33,
1997-05-30,1454,1441,1528,1427,2683901,39243110,0,0.0,N,3,0,
1997-05-31,1441,1454,1501,1441,706517,10274960,0,0.0,N,5,-13,
1997-06-02,1421,1447,1447,1407,349380,5051070,0,0.0,N,5,-20,
1997-06-03,1407,1407,1427,1407,396371,5605240,0,0.0,N,5,-13,
1997-06-04,1407,1414,1461,1407,255844,3645820,0,0.0,N,3,0,
1997-06-05,1374,1414,1434,1374,315963,4422950,0,0.0,N,5,-33,
1997-06-07,1360,1400,1400,1360,122775,1683930,0,0.0,N,5,-13,
1997-06-09,1387,1407,1407,1367,302537,4189380,0,0.0,N,2,26,
1997-06-10,1407,1407,1441,1387,325212,4601160,0,0.0,N,2,20,
1997-06-11,1407,1407,1434,1394,446496,6300810,0,0.0,N,3,0,
1997-06-12,1514,1407,1514,1407,2161323,31837390,0,0.0,N,1,107,
1997-06-13,1635,1535,1635,1441,2810705,43874420,0,0.0,N,1,120,
1997-06-14,1615,1622,1675,1555,3421299,56357720,0,0.0,N,5,-20,
1997-06-16,1541,1608,1635,1514,615666,9695200,0,0.0,N,5,-73,
1997-06-17,1528,1575,1575,1501,404129,6207250,0,0.0,N,5,-13,
1997-06-18,1501,1541,1568,1494,1066042,16299330,0,0.0,N,5,-26,
1997-06-19,1494,1474,1521,1474,200498,3003610,0,0.0,N,5,-6,
1997-06-20,1501,1494,1535,1481,410394,6186270,0,0.0,N,2,6,
1997-06-21,1501,1508,1535,1494,214521,3248300,0,0.0,N,3,0,
1997-06-23,1407,1501,1514,1407,198111,2921250,0,0.0,N,5,-93,
1997-06-24,1454,1447,1494,1407,446496,6440540,0,0.0,N,2,46,
1997-06-25,1434,1454,1501,1434,405173,5908170,0,0.0,N,5,-20,
1997-06-26,1461,1474,1501,1454,504080,7442960,0,0.0,N,2,26,
1997-06-27,1454,1508,1521,1454,305968,4532310,0,0.0,N,5,-6,
1997-06-28,1481,1454,1488,1447,237345,3483820,0,0.0,N,2,26,
1997-06-30,1481,1488,1514,1461,635358,9488350,0,0.0,N,3,0,
1997-07-01,1541,1514,1568,1501,1458236,22532070,0,0.0,N,2,60,
1997-07-02,1575,1561,1595,1521,1727805,26992790,0,0.0,N,2,33,
1997-07-03,1541,1588,1595,1541,3502603,54429300,0,0.0,N,5,-33,
1997-07-04,1622,1555,1635,1555,2209807,35176410,0,0.0,N,2,80,
1997-07-05,1642,1622,1669,1581,1761072,28708960,0,0.0,N,2,20,
1997-07-07,1655,1669,1716,1642,4127220,69301440,0,0.0,N,2,13,
1997-07-08,1622,1655,1655,1595,987424,15992710,0,0.0,N,5,-33,
1997-07-09,1595,1642,1642,1588,855101,13710840,0,0.0,N,5,-26,
1997-07-10,1642,1602,1716,1602,1705279,28350020,0,0.0,N,2,46,
1997-07-11,1769,1675,1769,1675,2534423,43815730,0,0.0,N,1,127,
1997-07-12,1756,1796,1836,1756,2114033,37955670,0,0.0,N,5,-13,
1997-07-14,1762,1769,1796,1722,1229692,21648690,0,0.0,N,2,6,
1997-07-15,1655,1783,1783,1649,1514179,25815880,0,0.0,N,5,-107,
1997-07-16,1642,1588,1675,1588,683991,11123650,0,0.0,N,5,-13,
1997-07-18,1608,1602,1675,1602,682798,11209860,0,0.0,N,5,-33,
1997-07-19,1581,1628,1628,1555,532573,8501930,0,0.0,N,5,-26,
1997-07-21,1541,1602,1602,1521,418301,6536850,0,0.0,N,5,-40,
1997-07-22,1541,1561,1575,1494,473945,7284110,0,0.0,N,3,0,
1997-07-23,1608,1541,1635,1541,553309,8763820,0,0.0,N,2,67,
1997-07-24,1622,1608,1628,1575,679068,10940810,0,0.0,N,2,13,
1997-07-25,1561,1628,1635,1555,378022,6056640,0,0.0,N,5,-60,
1997-07-26,1555,1568,1595,1548,311637,4882210,0,0.0,N,5,-6,
1997-07-28,1595,1555,1608,1555,616114,9778410,0,0.0,N,2,40,
1997-07-29,1568,1622,1622,1568,328942,5237220,0,0.0,N,5,-26,
1997-07-30,1548,1575,1581,1541,562707,8730410,0,0.0,N,5,-20,
1997-07-31,1575,1541,1581,1508,386973,6046500,0,0.0,N,2,26,
1997-08-01,1602,1588,1628,1575,900750,14458500,0,0.0,N,2,26,
1997-08-02,1581,1608,1608,1575,272253,4322840,0,0.0,N,5,-20,
1997-08-04,1581,1595,1595,1568,255247,4036770,0,0.0,N,3,0,
1997-08-05,1561,1581,1588,1561,267778,4217330,0,0.0,N,5,-20,
1997-08-06,1608,1635,1635,1588,778720,12513730,0,0.0,N,2,46,
1997-08-07,1608,1608,1628,1595,324467,5243360,0,0.0,N,3,0,
1997-08-08,1635,1615,1642,1602,672802,10947310,0,0.0,N,2,26,
1997-08-09,1655,1642,1702,1628,1060820,17688490,0,0.0,N,2,20,
1997-08-11,1675,1655,1695,1628,952068,15880420,0,0.0,N,2,20,
1997-08-12,1635,1642,1675,1635,458132,7551410,0,0.0,N,5,-40,
1997-08-13,1635,1615,1662,1615,306117,5011010,0,0.0,N,3,0,
1997-08-14,1655,1635,1669,1635,754404,12415630,0,0.0,N,2,20,
1997-08-16,1635,1642,1655,1635,105470,1727230,0,0.0,N,5,-20,
1997-08-18,1635,1628,1655,1622,315516,5151160,0,0.0,N,3,0,
1997-08-19,1628,1642,1655,1608,214073,3483410,0,0.0,N,5,-6,
1997-08-20,1622,1628,1642,1608,365640,5947540,0,0.0,N,5,-6,
1997-08-21,1588,1608,1642,1588,157683,2529860,0,0.0,N,5,-33,
