날짜,종가,시가,고가,저가,거래량,거래대금,flng_cls_code,prtt_rate,mod_yn,prdy_vrss_sign,prdy_vrss,revl_issu_reas
1997-01-03,26381,24910,26813,24910,7283,1843800,0,0.0,N,5,-432,
1997-01-04,26381,25948,26381,25948,1271,333800,0,0.0,N,3,0,
1997-01-06,25862,25083,25862,24737,7977,2002600,0,0.0,N,5,-518,
1997-01-07,23872,24045,25689,23872,34683,8361500,0,0.0,N,5,-1989,
1997-01-08,23872,23872,24305,23353,5665,1352700,0,0.0,N,3,0,
1997-01-09,23872,23872,24045,23353,47285,11293000,0,0.0,N,3,0,
1997-01-10,25083,24218,25083,24218,58615,14424300,0,0.0,N,2,1210,
1997-01-11,26986,25083,26986,25083,14798,3865600,0,0.0,N,2,1902,
1997-01-13,27851,26986,27938,26813,27515,7500700,0,0.0,N,2,864,
1997-01-14,29581,27678,29841,27678,1029297,302656650,0,0.0,N,2,1729,
1997-01-15,30446,30273,30879,29581,1009065,305544250,0,0.0,N,2,864,
1997-01-16,30619,30879,30879,30014,52603,16094000,0,0.0,N,2,172,
1997-01-17,29408,31052,31052,29408,56418,17093400,0,0.0,N,5,-1210,
1997-01-18,29841,28543,30014,28543,36071,10658400,0,0.0,N,2,432,
1997-01-20,30230,29581,30706,29581,31330,9484400,0,0.0,N,2,389,
1997-01-21,27851,29408,29841,27851,85668,25027800,0,0.0,N,4,-2378,
1997-01-22,26121,25775,27246,25689,78038,20383250,0,0.0,N,5,-1729,
1997-01-23,24218,26121,26121,24045,116190,28819150,0,0.0,N,5,-1902,
1997-01-24,24651,23872,24910,23872,138734,33877800,0,0.0,N,2,432,
1997-01-25,25516,24910,25689,24910,77229,22028700,0,0.0,N,2,864,
1997-01-27,24651,25732,25819,24651,50869,12847750,0,0.0,N,5,-864,
1997-01-28,25300,24391,26035,24218,129485,32561950,0,0.0,N,2,648,
1997-01-29,26381,25862,26813,25473,265214,68320900,0,0.0,N,2,1081,
1997-01-30,27678,26381,28370,26381,91449,24784000,0,0.0,N,2,1297,
1997-01-31,27938,27938,28111,27073,89368,24754600,0,0.0,N,2,259,
1997-02-01,27505,27938,27938,26900,44973,12372700,0,0.0,N,5,-432,
1997-02-03,28457,27419,29668,26986,204171,59245950,0,0.0,N,2,951,
1997-02-04,29105,28543,29105,28543,83472,23977700,0,0.0,N,2,648,
1997-02-05,28370,29408,29495,28370,72142,21039000,0,0.0,N,5,-735,
1997-02-06,28111,28111,28370,27678,26128,7304300,0,0.0,N,5,-259,
1997-02-10,28024,28197,28976,27938,147983,41614200,0,0.0,N,5,-86,
1997-02-11,28370,28284,28457,28024,56996,16025500,0,0.0,N,2,345,
1997-02-12,29062,28543,29408,28543,175615,51362400,0,0.0,N,2,691,
1997-02-13,29408,29322,30187,29322,80235,23801200,0,0.0,N,2,345,
1997-02-14,29408,29495,29495,29062,23122,6767300,0,0.0,N,3,0,
1997-02-15,29322,29408,29841,28976,14682,4290100,0,0.0,N,5,-86,
1997-02-17,28543,27073,29149,27073,12139,3482500,0,0.0,N,5,-778,
1997-02-18,28370,28543,28543,27678,15492,4353600,0,0.0,N,5,-172,
